id,name_with_owner,url,stargazer_count,pull_requests
MDEwOlJlcG9zaXRvcnk3NjkxNjMx,moby/moby,https://github.com/moby/moby,66749,23690
MDEwOlJlcG9zaXRvcnkxMDcxMTE0MjE=,thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,66169,294
MDEwOlJlcG9zaXRvcnkxMDc0NDE4Mw==,netdata/netdata,https://github.com/netdata/netdata,65387,8182
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,65345,66456
MDEwOlJlcG9zaXRvcnkxODYxNDU4,hakimel/reveal.js,https://github.com/hakimel/reveal.js,64670,946
MDEwOlJlcG9zaXRvcnk1OTY4OTI=,pallets/flask,https://github.com/pallets/flask,64538,2463
MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==,apple/swift,https://github.com/apple/swift,64195,50488
R_kgDOIPDwlg,langchain-ai/langchain,https://github.com/langchain-ai/langchain,64062,6297
MDEwOlJlcG9zaXRvcnk2MzUzOTA1NQ==,jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,63989,868
MDEwOlJlcG9zaXRvcnkzNTc3Mjg5Njk=,oven-sh/bun,https://github.com/oven-sh/bun,63950,2051
MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack/webpack,https://github.com/webpack/webpack,63585,6319
MDEwOlJlcG9zaXRvcnkxMjg4ODk5Mw==,home-assistant/core,https://github.com/home-assistant/core,63338,58478
MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,63254,2185
MDEwOlJlcG9zaXRvcnkxNzI5NTM4NDU=,coder/code-server,https://github.com/coder/code-server,62411,1719
MDEwOlJlcG9zaXRvcnkyMzcxNTk=,expressjs/express,https://github.com/expressjs/express,62039,1132
MDEwOlJlcG9zaXRvcnk4ODQzNjgz,chartjs/Chart.js,https://github.com/chartjs/Chart.js,61987,3727
MDEwOlJlcG9zaXRvcnkxNTYwMTg=,redis/redis,https://github.com/redis/redis,61732,5619
MDEwOlJlcG9zaXRvcnkyNjA2NjcyNw==,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,61688,2106
MDEwOlJlcG9zaXRvcnkyMTg3MjM5Mg==,josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,60974,860
MDEwOlJlcG9zaXRvcnkyMzM1NzU4OA==,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,60953,8250
MDEwOlJlcG9zaXRvcnkxMzM0MzY5,resume/resume.github.com,https://github.com/resume/resume.github.com,60775,171
MDEwOlJlcG9zaXRvcnk3MTU4MzYwMg==,Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses,60651,175
MDEwOlJlcG9zaXRvcnkyNTc0ODU0MjI=,vitejs/vite,https://github.com/vitejs/vite,60188,4771
MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nestjs/nest,https://github.com/nestjs/nest,60176,7184
MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==,reduxjs/redux,https://github.com/reduxjs/redux,59969,2457
R_kgDOJPJM2Q,twitter/the-algorithm,https://github.com/twitter/the-algorithm,59960,319
MDEwOlJlcG9zaXRvcnkyNzgzMzUyNzM=,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,59848,1695
MDEwOlJlcG9zaXRvcnkzMjI4NTA1,atom/atom,https://github.com/atom/atom,59640,5249
MDEwOlJlcG9zaXRvcnkzMzAxNTU4Mw==,keras-team/keras,https://github.com/keras-team/keras,59481,6597
MDEwOlJlcG9zaXRvcnk0NjAwNzg=,angular/angular.js,https://github.com/angular/angular.js,59078,7926
MDEwOlJlcG9zaXRvcnk1NTc5ODA=,socketio/socket.io,https://github.com/socketio/socket.io,59075,830
MDEwOlJlcG9zaXRvcnkxNDczNTA0NjM=,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,59010,299
MDEwOlJlcG9zaXRvcnkzNjM4OTY0,ansible/ansible,https://github.com/ansible/ansible,58800,49596
MDEwOlJlcG9zaXRvcnkyMjY3MDg1Nw==,enaqx/awesome-react,https://github.com/enaqx/awesome-react,58526,1257
MDEwOlJlcG9zaXRvcnkyMTI2MzkwNzE=,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,58434,302
MDEwOlJlcG9zaXRvcnk0NzAxODIzOQ==,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,58138,209
MDEwOlJlcG9zaXRvcnkzNDAyNTM3,h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,57940,667
MDEwOlJlcG9zaXRvcnkxNjcxNzQ=,jquery/jquery,https://github.com/jquery/jquery,57864,2882
MDEwOlJlcG9zaXRvcnkxMjA1MzgzMDQ=,kelseyhightower/nocode,https://github.com/kelseyhightower/nocode,57828,147
MDEwOlJlcG9zaXRvcnkyMTQ1ODcxOTM=,supabase/supabase,https://github.com/supabase/supabase,57713,7368
MDEwOlJlcG9zaXRvcnkzOTU1NjQ3,lodash/lodash,https://github.com/lodash/lodash,57635,1365
MDEwOlJlcG9zaXRvcnkxNTExMTgyMQ==,grafana/grafana,https://github.com/grafana/grafana,57428,41050
MDEwOlJlcG9zaXRvcnk0NDg4MjIwMQ==,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,57339,1092
MDEwOlJlcG9zaXRvcnkzMDcyNjAyMDU=,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,57282,2065
MDEwOlJlcG9zaXRvcnk3NjAwNDA5,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,57044,474
MDEwOlJlcG9zaXRvcnkxOTE1Mjk3MzI=,lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions,56831,496
MDEwOlJlcG9zaXRvcnk5MTg1Nzky,apache/echarts,https://github.com/apache/echarts,56499,1581
MDEwOlJlcG9zaXRvcnk0MzQ0MTQwMw==,strapi/strapi,https://github.com/strapi/strapi,56484,8818
MDEwOlJlcG9zaXRvcnkyNDM5NTA0MDg=,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,56271,628
MDEwOlJlcG9zaXRvcnkyNjg5ODg3OQ==,awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,56141,277
